ZIP_Code,Median_income,Population,TeslaCount,NonTeslaCount,Total_EVs,Tesla_Proportion_of_Evs,EV_per_1k_people
55708,68859,917,1,1,2,0.5,2.18
55709,71163,4199,1,9,10,0.1,2.38
55710,76694,1327,0,3,3,0,2.26
55711,54583,707,0,2,2,0,2.83
55712,49091,512,0,1,1,0,1.95
55713,58424,979,1,2,3,0.333,3.06
55717,93250,295,1,0,1,1,3.39
55718,98448,3245,7,12,19,0.368,5.86
55719,63497,5668,5,13,18,0.278,3.18
55720,66399,17236,10,40,50,0.2,2.9
55721,82750,3667,1,13,14,0.071,3.82
55722,57436,1169,0,4,4,0,3.42
55723,63958,2222,1,12,13,0.077,5.85
55724,73500,824,1,1,2,0.5,2.43
55726,76667,999,1,1,2,0.5,2
55731,62900,5494,13,24,37,0.351,6.73
55732,62604,1358,0,3,3,0,2.21
55733,115051,5104,6,16,22,0.273,4.31
55734,65750,5964,5,16,21,0.238,3.52
55735,62125,1699,0,3,3,0,1.77
55736,65000,1454,0,1,1,0,0.69
55738,80278,483,0,4,4,0,8.28
55741,66528,3110,4,8,12,0.333,3.86
55744,68213,20096,16,54,70,0.229,3.48
55746,55694,17071,6,27,33,0.182,1.93
55748,54615,1394,0,3,3,0,2.15
55749,82530,452,0,1,1,0,2.21
55750,64653,2035,1,4,5,0.2,2.46
55751,72969,1474,0,4,4,0,2.71
55752,77083,401,1,0,1,1,2.49
55753,50407,970,0,1,1,0,1.03
55758,53750,156,0,1,1,0,6.41
55760,60341,2890,0,8,8,0,2.77
55763,71923,570,0,2,2,0,3.51
55765,73750,780,0,1,1,0,1.28
55767,73810,4495,1,18,19,0.053,4.23
55768,82261,2878,1,13,14,0.071,4.86
55769,66149,2235,2,2,4,0.5,1.79
55771,65893,1485,1,2,3,0.333,2.02
55775,81250,1242,3,2,5,0.6,4.03
55779,98958,3974,5,10,15,0.333,3.77
55781,95536,728,2,7,9,0.222,12.36
55783,79052,2484,2,9,11,0.182,4.43
55787,63750,454,2,2,4,0.5,8.81
55790,74732,1876,1,4,5,0.2,2.67
55792,50616,9827,0,24,24,0,2.44
55793,66458,606,0,3,3,0,4.95
55795,69485,1624,1,4,5,0.2,3.08
55796,56429,195,0,1,1,0,5.13
55797,88203,1525,0,6,6,0,3.93
55798,78929,664,1,0,1,1,1.51
55802,40850,2544,11,30,41,0.268,16.12
55803,104250,17796,44,122,166,0.265,9.33
55804,108231,15471,59,129,188,0.314,12.15
55805,43077,9731,8,30,38,0.211,3.91
55806,44962,9761,7,39,46,0.152,4.71
55807,63670,9674,8,29,37,0.216,3.82
