ZIP_Code,Median_income,Population,TeslaCount,NonTeslaCount,Total_EVs,Tesla_Proportion_of_Evs,EV_per_1k_people
56479,58009,5387,2,8,10,0.2,1.86
56481,69688,1972,2,1,3,0.667,1.52
56482,56356,6925,3,10,13,0.231,1.88
56484,64688,3517,2,14,16,0.125,4.55
56501,68980,17784,17,58,75,0.227,4.22
56510,73125,2327,1,1,2,0.5,0.86
56511,87375,2192,1,4,5,0.2,2.28
56514,88690,3963,10,8,18,0.556,4.54
56515,73350,2967,3,10,13,0.231,4.38
56516,62000,255,1,0,1,1,3.92
56520,61537,3952,3,2,5,0.6,1.27
56521,71741,763,0,4,4,0,5.24
56522,81250,515,1,0,1,1,1.94
56523,54400,475,0,1,1,0,2.11
56524,74688,681,1,1,2,0.5,2.94
56528,80667,1669,1,2,3,0.333,1.8
56529,89577,4613,2,12,14,0.143,3.03
56531,73162,2065,1,8,9,0.111,4.36
56534,71932,1189,2,3,5,0.4,4.21
56536,79375,474,4,0,4,1,8.44
56537,62279,19230,27,72,99,0.273,5.15
56540,77500,1919,0,3,3,0,1.56
56542,57750,2718,0,1,1,0,0.37
56543,64643,277,0,1,1,0,3.61
56544,72742,5361,3,3,6,0.5,1.12
56547,95750,2597,0,5,5,0,1.93
56548,67679,737,0,1,1,0,1.36
56549,100326,5075,3,11,14,0.214,2.76
56550,62500,396,0,3,3,0,7.58
56551,63750,2256,1,2,3,0.333,1.33
56553,64971,252,0,1,1,0,3.97
56554,91379,3098,2,7,9,0.222,2.91
56557,53077,2826,1,4,5,0.2,1.77
56560,71114,44205,31,133,164,0.189,3.71
56562,-,461,0,2,2,0,4.34
56563,-,1130,0,2,2,0,1.77
56566,38056,607,0,1,1,0,1.65
56567,69919,3511,3,5,8,0.375,2.28
56569,56250,1279,1,1,2,0.5,1.56
56570,65938,1177,1,1,2,0.5,1.7
56571,83500,1968,2,4,6,0.333,3.05
56572,83631,5747,5,19,24,0.208,4.18
56573,68080,7066,10,19,29,0.345,4.1
56575,55673,773,1,0,1,1,1.29
56576,73523,818,1,0,1,1,1.22
56578,93750,801,1,7,8,0.125,9.99
56580,101477,1249,0,4,4,0,3.2
56584,70398,1348,1,1,2,0.5,1.48
56586,82333,1963,0,4,4,0,2.04
56587,83203,1454,1,7,8,0.125,5.5
56588,66250,522,2,2,4,0.5,7.66
56589,67431,1850,0,3,3,0,1.62
56590,70000,403,0,1,1,0,2.48
56594,93958,406,0,2,2,0,4.93
56601,69782,34647,27,97,124,0.218,3.58
56619,,,0,1,1,0,NULL
56621,63750,4407,1,4,5,0.2,1.13
56623,74000,2640,1,5,6,0.167,2.27
56628,58631,1725,2,2,4,0.5,2.32
56630,51875,2370,2,3,5,0.4,2.11
56633,62422,4751,1,5,6,0.167,1.26
56636,59858,5055,2,0,2,1,0.4
56641,46250,340,0,1,1,0,2.94
56644,53750,854,1,0,1,1,1.17
56646,42422,320,0,1,1,0,3.13
56649,70348,8923,4,9,13,0.308,1.46
56650,78750,771,0,4,4,0,5.19
56652,73594,509,0,1,1,0,1.96
56655,55368,1502,1,5,6,0.167,3.99
56657,70750,324,1,1,2,0.5,6.17
56660,62321,291,0,2,2,0,6.87
56662,64881,504,0,2,2,0,3.97
56666,50250,886,1,0,1,1,1.13
56667,79844,694,1,2,3,0.333,4.32
56672,60347,1972,1,2,3,0.333,1.52
56676,67679,1773,1,2,3,0.333,1.69
56683,86250,716,0,1,1,0,1.4
56686,70781,859,0,1,1,0,1.16
56701,73243,12798,5,20,25,0.2,1.95
56710,70000,511,1,1,2,0.5,3.91
56713,90833,904,1,1,2,0.5,2.21
56714,67708,1191,0,1,1,0,0.84
56715,72813,363,0,1,1,0,2.75
56716,56781,8965,1,14,15,0.067,1.67
56721,83633,10602,5,17,22,0.227,2.08
56722,88438,314,0,1,1,0,3.18
56723,108333,980,1,2,3,0.333,3.06
56726,70625,1471,0,2,2,0,1.36
56728,70750,1231,0,7,7,0,5.69
56732,67841,1097,0,1,1,0,0.91
56733,69250,371,0,1,1,0,2.7
56734,73393,374,0,2,2,0,5.35
56735,66625,831,0,2,2,0,2.41
56736,81500,859,0,2,2,0,2.33
56737,70536,809,1,0,1,1,1.24
56744,77222,526,1,1,2,0.5,3.8
56750,74688,2392,0,3,3,0,1.25
56751,77336,5648,5,9,14,0.357,2.48
56756,96563,769,0,1,1,0,1.3
56757,79219,853,0,1,1,0,1.17
56760,98750,406,0,1,1,0,2.46
56762,61719,2561,0,3,3,0,1.17
56763,70357,5132,0,8,8,0,1.56
